ID,Name,Category,Price
234,Item 234,Garden,741.27
235,Item 235,Electronics,552.61
236,Item 236,Books,150.71
237,Item 237,Sports,960.63
238,Item 238,Food,118.34
239,Item 239,Beauty,230.18
240,Item 240,Clothing,568.79
241,Item 241,Sports,213.08
242,Item 242,Food,453.85
243,Item 243,Garden,782.25
244,Item 244,Health,155.97
245,Item 245,Food,943.69
246,Item 246,Food,162.86
247,Item 247,Garden,510.16
248,Item 248,Food,367.47
249,Item 249,Beauty,346.13
250,Item 250,Food,515.56
251,Item 251,Books,642.41
252,Item 252,Home,511.75
253,Item 253,Home,901.89
254,Item 254,Beauty,958.43
255,Item 255,Clothing,950.06
256,Item 256,Home,797.76
257,Item 257,Clothing,74.11
258,Item 258,Clothing,576.38
259,Item 259,Home,708.03
260,Item 260,Sports,159.08
261,Item 261,Clothing,694.92
262,Item 262,Clothing,176.55
263,Item 263,Toys,144.55
264,Item 264,Electronics,513.71
265,Item 265,Health,909.49
266,Item 266,Home,395.04
267,Item 267,Sports,744.64
268,Item 268,Electronics,766.67
269,Item 269,Health,650.06
270,Item 270,Garden,281.1
271,Item 271,Sports,587.8
272,Item 272,Sports,185.87
273,Item 273,Food,342.82
274,Item 274,Books,789.49
275,Item 275,Clothing,923.4
276,Item 276,Garden,304.29
277,Item 277,Books,175.97
278,Item 278,Books,833.93
279,Item 279,Clothing,479.57
280,Item 280,Beauty,632.18
281,Item 281,Food,369.01
282,Item 282,Garden,982.87
283,Item 283,Electronics,806.7
284,Item 284,Beauty,118.27
285,Item 285,Toys,863.47
286,Item 286,Food,399.94
287,Item 287,Beauty,182.28
288,Item 288,Health,780.02
289,Item 289,Sports,609.53
290,Item 290,Garden,335.06
291,Item 291,Sports,552.35
292,Item 292,Toys,563.91
293,Item 293,Books,398.01
294,Item 294,Clothing,315.64
295,Item 295,Electronics,529.69
296,Item 296,Toys,797.29
297,Item 297,Electronics,964.25
298,Item 298,Food,462.23
299,Item 299,Health,556.13
300,Item 300,Health,123.01
301,Item 301,Garden,928.7
302,Item 302,Home,551.55
303,Item 303,Garden,161.68
304,Item 304,Sports,996.54
305,Item 305,Beauty,968.89
306,Item 306,Home,880.95
307,Item 307,Food,520.61
308,Item 308,Garden,485.78
309,Item 309,Books,507.29
310,Item 310,Beauty,600.28
311,Item 311,Books,864.55
312,Item 312,Toys,938.9
313,Item 313,Home,217.13
314,Item 314,Home,743.34
315,Item 315,Home,368.14
316,Item 316,Electronics,141.56
317,Item 317,Electronics,565.23
318,Item 318,Food,205.11
319,Item 319,Food,730.61
320,Item 320,Sports,756.77
321,Item 321,Health,211.32
322,Item 322,Clothing,508.32
323,Item 323,Home,210.51
324,Item 324,Electronics,41.22
325,Item 325,Electronics,478.86
326,Item 326,Home,232.46
327,Item 327,Food,491.87
328,Item 328,Garden,334.48
329,Item 329,Food,320.86
330,Item 330,Food,626.42
331,Item 331,Sports,120.31
332,Item 332,Books,788.12
333,Item 333,Health,400.38
334,Item 334,Sports,97.43
335,Item 335,Books,462.8
336,Item 336,Books,725.13
337,Item 337,Toys,404.17
338,Item 338,Home,934.61
339,Item 339,Beauty,618.78
340,Item 340,Food,137.81
341,Item 341,Electronics,394.07
342,Item 342,Clothing,622.93
343,Item 343,Clothing,934.52
344,Item 344,Toys,777.18
345,Item 345,Electronics,61.1
346,Item 346,Clothing,777.65
347,Item 347,Clothing,136.45
348,Item 348,Sports,869.52
349,Item 349,Beauty,499.0
350,Item 350,Clothing,406.27
351,Item 351,Beauty,937.36
352,Item 352,Health,49.99
353,Item 353,Clothing,515.54
354,Item 354,Beauty,571.02
355,Item 355,Sports,778.2
356,Item 356,Garden,440.59
357,Item 357,Health,209.78
358,Item 358,Garden,118.32
359,Item 359,Beauty,750.1
360,Item 360,Food,898.86
361,Item 361,Garden,305.58
362,Item 362,Health,464.55
363,Item 363,Beauty,95.19
364,Item 364,Food,582.36
365,Item 365,Electronics,372.12
366,Item 366,Beauty,579.66
367,Item 367,Toys,783.97
368,Item 368,Clothing,467.48
369,Item 369,Food,773.66
370,Item 370,Health,660.56
371,Item 371,Garden,548.05
372,Item 372,Electronics,891.26
373,Item 373,Toys,348.54
374,Item 374,Beauty,224.33
375,Item 375,Garden,624.53
376,Item 376,Electronics,819.81
377,Item 377,Beauty,43.27
378,Item 378,Books,828.91
379,Item 379,Toys,759.2
380,Item 380,Sports,945.54
381,Item 381,Home,995.96
382,Item 382,Garden,554.09
383,Item 383,Garden,690.82
384,Item 384,Garden,180.34
385,Item 385,Sports,562.58
386,Item 386,Home,369.56
387,Item 387,Sports,314.32
388,Item 388,Health,882.53
389,Item 389,Health,534.06
390,Item 390,Garden,502.02
391,Item 391,Electronics,115.87
392,Item 392,Electronics,878.58
393,Item 393,Garden,335.38
394,Item 394,Sports,448.17
395,Item 395,Books,12.3
396,Item 396,Electronics,852.4
397,Item 397,Electronics,687.16
398,Item 398,Books,191.38
399,Item 399,Toys,441.98
400,Item 400,Health,704.94
401,Item 401,Sports,470.8
402,Item 402,Clothing,231.43
403,Item 403,Garden,160.02
404,Item 404,Beauty,843.42
405,Item 405,Beauty,876.89
406,Item 406,Books,556.07
407,Item 407,Health,113.93
408,Item 408,Sports,912.86
409,Item 409,Food,79.41
410,Item 410,Books,110.68
411,Item 411,Garden,634.56
412,Item 412,Health,460.48
413,Item 413,Clothing,934.77
414,Item 414,Garden,931.6
415,Item 415,Home,935.33
416,Item 416,Beauty,355.88
417,Item 417,Electronics,883.29
418,Item 418,Garden,317.69
419,Item 419,Garden,498.07
420,Item 420,Toys,838.52
421,Item 421,Toys,536.8
422,Item 422,Books,49.32
423,Item 423,Home,525.5
424,Item 424,Toys,623.41
425,Item 425,Electronics,374.46
426,Item 426,Clothing,156.96
427,Item 427,Books,516.45
428,Item 428,Garden,134.66
429,Item 429,Beauty,502.83
430,Item 430,Electronics,317.34
431,Item 431,Clothing,762.64
432,Item 432,Food,249.14
433,Item 433,Food,748.26
434,Item 434,Toys,852.16
435,Item 435,Toys,109.26
436,Item 436,Beauty,570.94
437,Item 437,Electronics,714.82
438,Item 438,Toys,962.06
439,Item 439,Clothing,745.04
440,Item 440,Food,443.92
441,Item 441,Sports,345.77
442,Item 442,Beauty,718.1
443,Item 443,Health,446.73
444,Item 444,Toys,648.43
445,Item 445,Books,340.15
446,Item 446,Health,504.48
447,Item 447,Home,708.65
448,Item 448,Books,62.67
449,Item 449,Beauty,526.27
450,Item 450,Food,440.86
451,Item 451,Health,90.59
452,Item 452,Home,399.15
453,Item 453,Electronics,349.12
454,Item 454,Electronics,98.13
455,Item 455,Beauty,37.01
456,Item 456,Home,284.32
457,Item 457,Sports,883.37
458,Item 458,Beauty,351.73
459,Item 459,Books,170.79
460,Item 460,Home,624.29
461,Item 461,Beauty,681.62
462,Item 462,Books,373.43
463,Item 463,Health,732.69
464,Item 464,Books,540.41
465,Item 465,Toys,41.03
466,Item 466,Home,32.51
467,Item 467,Health,890.6
468,Item 468,Clothing,874.52
469,Item 469,Clothing,354.91
470,Item 470,Food,382.4
471,Item 471,Clothing,991.95
472,Item 472,Sports,553.54
473,Item 473,Electronics,336.57
474,Item 474,Home,504.37
475,Item 475,Health,354.61
476,Item 476,Books,624.98
477,Item 477,Home,533.2
478,Item 478,Electronics,937.31
479,Item 479,Garden,411.67
480,Item 480,Electronics,874.5
481,Item 481,Clothing,961.08
482,Item 482,Sports,968.32
483,Item 483,Food,275.07
484,Item 484,Garden,840.34
485,Item 485,Food,154.29
486,Item 486,Health,639.01
487,Item 487,Books,246.15
488,Item 488,Books,179.69
489,Item 489,Garden,325.43
490,Item 490,Toys,810.36
491,Item 491,Health,986.97
492,Item 492,Food,899.2
493,Item 493,Sports,318.0
494,Item 494,Garden,837.63
495,Item 495,Home,965.94
496,Item 496,Toys,664.77
497,Item 497,Health,585.65
498,Item 498,Electronics,92.84
499,Item 499,Food,758.22
500,Item 500,Health,624.56
501,Item 501,Sports,843.09
502,Item 502,Health,886.29
503,Item 503,Home,610.86
504,Item 504,Sports,255.26
505,Item 505,Health,990.76
506,Item 506,Garden,417.38
507,Item 507,Toys,946.03
508,Item 508,Books,343.77
509,Item 509,Books,74.59
510,Item 510,Books,990.39
511,Item 511,Beauty,884.57
512,Item 512,Books,830.29
513,Item 513,Food,804.0
514,Item 514,Electronics,203.78
515,Item 515,Books,606.82
516,Item 516,Beauty,389.94
517,Item 517,Sports,62.6
518,Item 518,Food,969.75
519,Item 519,Toys,651.83
520,Item 520,Toys,744.88
521,Item 521,Sports,355.66
522,Item 522,Electronics,164.1
523,Item 523,Toys,264.35
524,Item 524,Toys,218.24
525,Item 525,Food,860.04
526,Item 526,Electronics,629.71
527,Item 527,Beauty,226.66
528,Item 528,Toys,629.83
529,Item 529,Beauty,768.52
530,Item 530,Books,835.21
531,Item 531,Home,273.59
532,Item 532,Sports,260.1
533,Item 533,Toys,694.77
534,Item 534,Food,221.09
535,Item 535,Books,34.54
536,Item 536,Food,69.39
537,Item 537,Sports,952.63
538,Item 538,Sports,880.98
539,Item 539,Sports,802.2
540,Item 540,Sports,598.63
541,Item 541,Home,313.62
542,Item 542,Sports,989.43
543,Item 543,Clothing,395.01
544,Item 544,Sports,694.66
545,Item 545,Clothing,120.87
546,Item 546,Clothing,683.43
547,Item 547,Electronics,230.98
548,Item 548,Books,433.23
549,Item 549,Toys,439.92
550,Item 550,Home,753.67
551,Item 551,Clothing,204.67
552,Item 552,Books,664.23
553,Item 553,Toys,791.99
554,Item 554,Clothing,810.8
555,Item 555,Clothing,414.75
556,Item 556,Food,210.71
557,Item 557,Toys,434.26
558,Item 558,Toys,44.15
559,Item 559,Electronics,759.54
560,Item 560,Books,957.38
561,Item 561,Health,896.98
562,Item 562,Garden,65.2
563,Item 563,Books,135.43
564,Item 564,Clothing,777.22
565,Item 565,Health,609.85
566,Item 566,Clothing,226.76
567,Item 567,Home,138.05
568,Item 568,Beauty,492.49
569,Item 569,Food,822.2
570,Item 570,Sports,256.02
571,Item 571,Toys,509.79
572,Item 572,Garden,508.48
573,Item 573,Toys,756.56
574,Item 574,Health,892.91
575,Item 575,Garden,125.38
576,Item 576,Toys,593.75
577,Item 577,Health,303.06
578,Item 578,Sports,293.86
579,Item 579,Garden,592.32
580,Item 580,Beauty,47.9
581,Item 581,Home,203.51
582,Item 582,Home,224.74
583,Item 583,Clothing,553.29
584,Item 584,Toys,383.55
585,Item 585,Home,896.63
586,Item 586,Books,335.47
587,Item 587,Books,426.21
588,Item 588,Clothing,906.48
589,Item 589,Books,246.39
590,Item 590,Toys,35.41
591,Item 591,Beauty,143.18
592,Item 592,Clothing,381.92
593,Item 593,Food,472.74
594,Item 594,Food,93.49
595,Item 595,Sports,746.29
596,Item 596,Toys,712.23
597,Item 597,Clothing,621.26
598,Item 598,Health,583.97
599,Item 599,Garden,167.44
600,Item 600,Sports,284.64
601,Item 601,Books,342.01
602,Item 602,Clothing,403.95
603,Item 603,Sports,418.25
604,Item 604,Beauty,379.57
605,Item 605,Electronics,956.72
606,Item 606,Sports,433.37
607,Item 607,Books,155.05
608,Item 608,Books,630.96
609,Item 609,Food,299.28
610,Item 610,Home,159.83
611,Item 611,Health,99.9
612,Item 612,Sports,153.12
613,Item 613,Electronics,450.87
614,Item 614,Sports,366.93
615,Item 615,Clothing,545.66
616,Item 616,Electronics,842.98
617,Item 617,Electronics,273.26
618,Item 618,Home,794.69
619,Item 619,Health,945.18
620,Item 620,Clothing,473.0
621,Item 621,Sports,707.11
622,Item 622,Clothing,373.43
623,Item 623,Food,894.77
624,Item 624,Clothing,81.61
625,Item 625,Health,589.13
626,Item 626,Clothing,221.45
627,Item 627,Books,508.94
628,Item 628,Toys,730.04
629,Item 629,Books,349.73
630,Item 630,Health,758.49
631,Item 631,Health,486.53
632,Item 632,Sports,483.53
633,Item 633,Sports,466.85
634,Item 634,Garden,66.57
635,Item 635,Clothing,872.1
636,Item 636,Beauty,701.97
637,Item 637,Home,567.42
638,Item 638,Books,699.18
639,Item 639,Clothing,26.37
640,Item 640,Sports,672.69
641,Item 641,Food,96.27
642,Item 642,Books,805.21
643,Item 643,Toys,813.86
644,Item 644,Health,791.62
645,Item 645,Home,983.3
646,Item 646,Books,16.85
647,Item 647,Health,347.36
648,Item 648,Books,591.37
649,Item 649,Books,56.48
650,Item 650,Garden,294.58
651,Item 651,Electronics,628.22
652,Item 652,Toys,211.3
653,Item 653,Sports,154.57
654,Item 654,Health,560.44
655,Item 655,Clothing,968.6
656,Item 656,Sports,710.9
657,Item 657,Beauty,369.59
658,Item 658,Toys,857.07
659,Item 659,Garden,971.66
660,Item 660,Books,243.35
661,Item 661,Sports,720.56
662,Item 662,Home,655.15
663,Item 663,Toys,559.25
664,Item 664,Clothing,825.11
665,Item 665,Clothing,859.69
666,Item 666,Garden,79.93
667,Item 667,Garden,117.56
668,Item 668,Beauty,191.59
669,Item 669,Electronics,62.09
670,Item 670,Food,51.51
671,Item 671,Home,762.92
672,Item 672,Sports,475.91
673,Item 673,Beauty,74.34
674,Item 674,Books,899.96
675,Item 675,Electronics,837.24
676,Item 676,Books,79.68
677,Item 677,Sports,75.49
678,Item 678,Home,478.27
679,Item 679,Garden,846.51
680,Item 680,Sports,745.81
681,Item 681,Sports,284.63
682,Item 682,Electronics,924.17
683,Item 683,Food,481.74
684,Item 684,Home,233.57
685,Item 685,Home,562.08
686,Item 686,Home,93.25
687,Item 687,Toys,867.62
688,Item 688,Clothing,843.87
689,Item 689,Sports,334.72
690,Item 690,Home,757.06
691,Item 691,Food,701.39
692,Item 692,Health,460.09
693,Item 693,Books,195.6
694,Item 694,Toys,841.93
695,Item 695,Beauty,252.35
696,Item 696,Sports,185.81
697,Item 697,Clothing,738.08
698,Item 698,Food,275.34
699,Item 699,Beauty,752.39
700,Item 700,Sports,683.39
701,Item 701,Food,934.0
702,Item 702,Food,915.67
703,Item 703,Clothing,506.93
704,Item 704,Sports,120.7
705,Item 705,Beauty,213.16
706,Item 706,Toys,308.8
707,Item 707,Food,888.77
708,Item 708,Toys,138.28
709,Item 709,Health,945.65
710,Item 710,Toys,183.54
711,Item 711,Beauty,867.09
712,Item 712,Toys,154.87
713,Item 713,Garden,944.34
714,Item 714,Health,836.21
715,Item 715,Home,429.99
716,Item 716,Home,164.66
717,Item 717,Food,42.97
718,Item 718,Garden,915.54
719,Item 719,Food,514.1
720,Item 720,Beauty,221.78
721,Item 721,Books,404.72
722,Item 722,Toys,172.51
723,Item 723,Garden,756.27
724,Item 724,Beauty,42.01
725,Item 725,Books,467.73
726,Item 726,Beauty,249.81
727,Item 727,Garden,448.41
728,Item 728,Toys,568.14
729,Item 729,Garden,174.17
730,Item 730,Health,426.09
731,Item 731,Food,995.22
732,Item 732,Food,549.77
733,Item 733,Toys,666.67
734,Item 734,Books,39.2
735,Item 735,Electronics,957.21
736,Item 736,Health,362.52
737,Item 737,Books,621.37
738,Item 738,Garden,203.11
739,Item 739,Garden,964.1
740,Item 740,Home,200.56
741,Item 741,Home,462.59
742,Item 742,Sports,912.49
743,Item 743,Electronics,458.07
744,Item 744,Toys,208.89
745,Item 745,Sports,948.3
746,Item 746,Toys,914.63
747,Item 747,Food,564.61
748,Item 748,Food,851.69
749,Item 749,Home,280.31
750,Item 750,Books,372.27
751,Item 751,Toys,439.21
752,Item 752,Health,909.71
753,Item 753,Electronics,864.55
754,Item 754,Home,418.84
755,Item 755,Food,845.33
756,Item 756,Toys,202.58
757,Item 757,Health,406.69
758,Item 758,Clothing,271.35
759,Item 759,Health,133.0
760,Item 760,Health,941.12
761,Item 761,Electronics,680.08
762,Item 762,Electronics,114.46
763,Item 763,Home,514.15
764,Item 764,Clothing,444.61
765,Item 765,Sports,612.23
766,Item 766,Home,639.53
767,Item 767,Clothing,37.71
768,Item 768,Health,412.56
769,Item 769,Beauty,173.85
770,Item 770,Toys,161.52
771,Item 771,Electronics,759.28
772,Item 772,Home,73.73
773,Item 773,Sports,847.07
774,Item 774,Health,218.61
775,Item 775,Clothing,498.35
776,Item 776,Garden,327.84
777,Item 777,Food,10.37
778,Item 778,Beauty,995.79
779,Item 779,Clothing,520.9
780,Item 780,Health,273.48
781,Item 781,Clothing,923.78
782,Item 782,Sports,500.26
783,Item 783,Books,134.81
784,Item 784,Clothing,751.8
785,Item 785,Toys,56.8
786,Item 786,Garden,680.34
787,Item 787,Books,650.41
788,Item 788,Electronics,224.4
789,Item 789,Sports,376.43
790,Item 790,Clothing,455.02
791,Item 791,Books,744.53
792,Item 792,Clothing,306.13
793,Item 793,Beauty,975.8
794,Item 794,Sports,387.14
795,Item 795,Books,28.42
796,Item 796,Books,441.37
797,Item 797,Garden,496.66
798,Item 798,Clothing,118.62
799,Item 799,Home,601.98
800,Item 800,Food,818.29
801,Item 801,Food,767.52
802,Item 802,Beauty,559.71
803,Item 803,Toys,580.4
804,Item 804,Garden,453.39
805,Item 805,Food,914.25
806,Item 806,Food,894.27
807,Item 807,Garden,908.13
808,Item 808,Food,78.77
809,Item 809,Food,567.51
810,Item 810,Garden,592.67
811,Item 811,Beauty,342.91
812,Item 812,Home,163.49
813,Item 813,Garden,964.58
814,Item 814,Sports,28.97
815,Item 815,Toys,846.25
816,Item 816,Electronics,867.73
817,Item 817,Health,908.27
818,Item 818,Toys,255.23
819,Item 819,Clothing,333.77
820,Item 820,Clothing,448.43
821,Item 821,Electronics,648.03
822,Item 822,Beauty,750.41
823,Item 823,Beauty,659.05
824,Item 824,Garden,923.8
825,Item 825,Electronics,254.14
826,Item 826,Electronics,570.55
827,Item 827,Health,537.76
828,Item 828,Clothing,767.65
829,Item 829,Food,113.89
830,Item 830,Toys,446.3
831,Item 831,Food,297.68
832,Item 832,Garden,49.66
833,Item 833,Electronics,252.55
834,Item 834,Clothing,38.57
835,Item 835,Home,558.8
836,Item 836,Electronics,160.87
837,Item 837,Beauty,334.98
838,Item 838,Books,221.93
839,Item 839,Electronics,361.8
840,Item 840,Sports,718.67
841,Item 841,Books,700.38
842,Item 842,Beauty,487.02
843,Item 843,Garden,461.82
844,Item 844,Books,193.56
845,Item 845,Health,548.24
846,Item 846,Toys,838.21
847,Item 847,Electronics,243.45
848,Item 848,Food,66.7
849,Item 849,Electronics,347.42
850,Item 850,Clothing,609.49
851,Item 851,Home,362.5
852,Item 852,Sports,376.52
853,Item 853,Sports,776.49
854,Item 854,Toys,551.53
855,Item 855,Clothing,391.46
856,Item 856,Electronics,395.57
857,Item 857,Clothing,843.0
858,Item 858,Toys,810.01
859,Item 859,Electronics,344.88
860,Item 860,Sports,737.65
861,Item 861,Food,33.38
862,Item 862,Home,679.36
863,Item 863,Sports,149.62
864,Item 864,Toys,45.01
865,Item 865,Garden,151.07
866,Item 866,Home,142.44
867,Item 867,Beauty,498.91
868,Item 868,Electronics,309.22
869,Item 869,Home,32.99
870,Item 870,Books,477.38
871,Item 871,Food,538.1
872,Item 872,Beauty,24.23
873,Item 873,Clothing,10.99
874,Item 874,Home,408.99
875,Item 875,Sports,346.46
876,Item 876,Health,867.2
877,Item 877,Health,888.21
878,Item 878,Garden,175.59
879,Item 879,Clothing,223.8
880,Item 880,Garden,614.22
881,Item 881,Sports,800.2
882,Item 882,Electronics,100.78
883,Item 883,Food,721.74
884,Item 884,Garden,837.88
885,Item 885,Sports,660.93
886,Item 886,Garden,811.66
887,Item 887,Clothing,878.6
888,Item 888,Home,763.34
889,Item 889,Beauty,199.63
890,Item 890,Health,838.07
891,Item 891,Sports,743.87
892,Item 892,Health,124.11
893,Item 893,Beauty,155.0
894,Item 894,Clothing,355.88
895,Item 895,Toys,289.41
896,Item 896,Toys,479.61
897,Item 897,Clothing,220.61
898,Item 898,Electronics,142.67
899,Item 899,Toys,45.09
900,Item 900,Garden,923.24
901,Item 901,Toys,562.03
902,Item 902,Clothing,405.17
903,Item 903,Garden,78.44
904,Item 904,Books,628.53
905,Item 905,Clothing,648.88
906,Item 906,Food,752.8
907,Item 907,Health,609.82
908,Item 908,Health,166.72
909,Item 909,Electronics,574.94
910,Item 910,Home,724.37
911,Item 911,Books,485.98
912,Item 912,Garden,417.48
913,Item 913,Sports,479.39
914,Item 914,Food,451.65
915,Item 915,Toys,718.58
916,Item 916,Toys,656.39
917,Item 917,Food,677.09
918,Item 918,Sports,320.8
919,Item 919,Sports,363.47
920,Item 920,Home,563.28
921,Item 921,Clothing,480.99
922,Item 922,Electronics,389.14
923,Item 923,Food,981.58
924,Item 924,Home,872.43
925,Item 925,Sports,231.04
926,Item 926,Toys,299.7
927,Item 927,Home,914.42
928,Item 928,Electronics,579.33
929,Item 929,Garden,259.01
930,Item 930,Clothing,289.57
931,Item 931,Home,214.47
932,Item 932,Books,159.53
933,Item 933,Toys,635.37
934,Item 934,Beauty,620.31
935,Item 935,Clothing,936.85
936,Item 936,Electronics,76.92
937,Item 937,Electronics,290.96
